Crop,Type,Regions
Peaches,Fruit,"Cross Timbers, Blacklands, North East Texas, South East Texas, Edwards Plateau, South Central"
Pears,Fruit,"Cross Timbers, Blacklands, North East Texas, South East Texas, Edwards Plateau, South Central"
Persimmons,Fruit,"Trans-Pecos, Edwards Plateau, South Central"
Pickling Cucumbers,Fruit,"Northern High Plains, Southerns High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands"
Potatoes,Root,"Northern High Plains, Southern High Plains, South Texas, Lower Valley"
Pumpkins,Fruit,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, Trans-Pecos"
Red Cabbage,Leaf,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, Trans-Pecos, Edwards Plateau, South Central, Coastal Bend, "
Savoy Cabbage,Leaf,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, Trans-Pecos, Edwards Plateau, South Central, Coastal Bend, "
Sweet Onions,Root,"South Central, South Texas, Lower Valley"
Sweet Peppers,Fruit,"Trans-Pecos, Lower Valley"
Spinach,Leaf,"Northern High Plains, Southern High Plains, South Texas, Lower Valley"
Squash,Fruit,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, North East Texas, South East Texas, South Central, Coastal Bend, Upper Coast, South Texas, Lower Valley "
Sweet Potatoes,Root,"Northern East Plains, Southern East Plains,"
Tomatoes,Fruit,"Northern High Plains, Southern High Plains, Trans-Pecos, Northern East Texas, Southern East Texas"
Greenhouse Tomatoes,Fruit,"Trans-Pecos, Edwards Plateau "
Turnips,Root,"South Central, Coastal Bend, Upper Coast, South Texas, Lower Valley"
Watermelons,Fruit,"Northern High Plains, Southern High Plains, Cross Timbers, North East Texas, South East Texas, South Texas, Lower Valley"
Zucchini,Fruit,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, North East Texas, South East Texas, South Central, Coastal Bend, Upper Coast, South Texas, Lower Valley "
Black-Eyed Peas,Legume,"Northern High Plains, Southern High Plains, Norther Low Plains, Southern Low Plains"
Cowpeas,Legume,"Upper Bend, Coastal Bend, Lower Valley"
Southern Peas,Legume,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, North East Texas, South East Texas, Trans-Pecos, Edwards Plateau, South Central, South Texas, Lower Valley"
English Peas,Legume,"Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, Edwards Plateau"
Green Beans,Legume,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, South Texas"
Guar,Legume,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains"
Lima Beans,Legume,"Cross Timbers, Blacklands, Northern East Texas, Lower Valley"
Cotton,Leaf,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, Cross Timbers, Blacklands, Trans-Pecos, North East Texas, South East Texas, Edwards Plateau, South Central, Coastal Bend, Upper Coast, South Texas, Lower Valley"
Corn,Leaf,"Northern High Plains, Blacklands, Upper Coast, South Central"
Wheat,Leaf,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern Low Plains, North East Texas, South East Texas, Upper Coast, South Central, "
Sorghum,Leaf,"Northern High Plains, Southern High Plains, Coastal Bend, Lower Valley"
Sugarcane,Leaf,Lower Valley
Peanuts,Legume,"Northern High Plains, Southern High Plains, Northern Low Plains, Southern High Plains, Trans-Pecos, Edwards Plateau, South Central"
Soybeans,Legume,"South Texas, Upper Coast, Lower Valley"
Okra ,Fruit,"Northern East Texas, Southern East Texas, South Central, South Texas"
